product_title,craft_type,material_cost,price,median_competitor_price,cost_floor,source
Terracotta Handpainted Statement Jewelry Set,Jewelry,2140.0,8500,11100,3100,synthetic_benchmark
Organic Handloom Linen Scarf with Tassels,Handloom Textile,2330.0,7100,8250,3350,synthetic_benchmark
Handmade Wooden Coaster Set of 6 with Stand,Woodwork,620.0,2200,2700,950,synthetic_benchmark
Deluxe Authentic Kanjivaram Silk Festive Saree,Handloom Textile,1340.0,3900,4600,2000,synthetic_benchmark
Handmade Dhokra Brass Hand-Cast Tribal Figurine,Metalwork,1230.0,2950,3450,1800,synthetic_benchmark
Deluxe Kantha Stitch Embroidered Cotton Cushion Covers Pair,Embroidery,1000.0,2400,2850,1500,synthetic_benchmark
Deluxe Handmade Brass Pooja Bell with Peacock Handle,Metalwork,1500.0,3250,4050,2200,synthetic_benchmark
Pure Bronze Kansa Serving Bowls Set of 2,Metalwork,550.0,1250,1450,850,synthetic_benchmark
Artisan Cast Iron Artisan Skillet Fry Pan,Metalwork,1440.0,3350,4250,2100,synthetic_benchmark
Carved Sheesham Wood Elephant Figurine,Woodwork,600.0,2050,2450,950,synthetic_benchmark
Authentic Kantha Stitch Embroidered Cotton Cushion Covers Pair,Embroidery,560.0,1550,1850,900,synthetic_benchmark
Handloom Sambalpuri Silk Traditional Saree,Handloom Textile,2650.0,7100,8200,3800,synthetic_benchmark
Artisan Ceramic Planter with Drainage Plate,Pottery & Clay,70.0,400,450,200,synthetic_benchmark
Handmade Clay Kulhad Chai Cups Set of 6,Pottery & Clay,100.0,500,650,250,synthetic_benchmark
Premium Handmade Kundan & Pearl Jhumka Earrings,Jewelry,2490.0,8000,9350,3600,synthetic_benchmark
Deluxe Handspun Cotton Table Runner with Tribal Motifs,Handloom Textile,3090.0,5950,7100,4450,synthetic_benchmark
Sandalwood Carved Incense Stick Holder,Woodwork,470.0,1400,1750,750,synthetic_benchmark
Handwoven Cotton Chanderi Dupatta with Booti Work,Handloom Textile,2220.0,4450,5300,3200,synthetic_benchmark
Premium Pure Bronze Kansa Serving Bowls Set of 2,Metalwork,1500.0,4200,5050,2200,synthetic_benchmark
Exquisite Dhokra Brass Hand-Cast Tribal Figurine,Metalwork,450.0,1050,1400,750,synthetic_benchmark
Pochampally Ikat Handwoven Saree,Handloom Textile,3270.0,8900,10650,4700,synthetic_benchmark
Handmade Crocheted Cotton Baby Blanket,Embroidery,790.0,2300,2550,1200,synthetic_benchmark
Traditional Pochampally Ikat Handwoven Saree,Handloom Textile,670.0,2350,2650,1050,synthetic_benchmark
Handcrafted Beaded Semi-Precious Stone Bracelet,Jewelry,1970.0,7400,8600,2850,synthetic_benchmark
Handwoven Woolen Kashmiri Pashmina Shawl,Handloom Textile,620.0,1900,2400,950,synthetic_benchmark
Custom Ergonomic Wireless Silent Optical Mouse,Electronics,980.0,1900,2150,1450,synthetic_benchmark
Custom Traditional Temple Jewelry Gold Plated Pendant,Jewelry,2420.0,8500,9700,3500,synthetic_benchmark
Authentic Kanjivaram Silk Festive Saree,Handloom Textile,2640.0,5450,6800,3800,synthetic_benchmark
Handmade Soft Stuffed Bunny Toy Holding a Carrot,Embroidery,830.0,2600,3350,1250,synthetic_benchmark
Artisan Hand-Carved Wooden Wall Panel Relief,Woodwork,440.0,1650,1950,700,synthetic_benchmark
Antique Finish Pure Copper Water Bottle (1 Litre),Metalwork,380.0,1400,1700,650,synthetic_benchmark
Handcrafted Organic Handloom Linen Scarf with Tassels,Handloom Textile,2090.0,5050,6650,3050,synthetic_benchmark
Exquisite Traditional Temple Jewelry Gold Plated Pendant,Jewelry,1600.0,5500,6250,2350,synthetic_benchmark
USB-C to Lightning Braided Fast Sync Cable,Electronics,560.0,1050,1250,900,synthetic_benchmark
Handloom Sambalpuri Silk Traditional Saree,Handloom Textile,2510.0,7800,9150,3600,synthetic_benchmark
Artisan Filigree Pure Silver Toe Rings Pair,Jewelry,2180.0,5000,6550,3150,synthetic_benchmark
Handcrafted Bamboo Wood Bluetooth Wireless Speaker,Electronics,600.0,1100,1250,950,synthetic_benchmark
Noise Cancelling Over-Ear Studio Headphones,Electronics,310.0,1000,1300,550,synthetic_benchmark
Handmade Brass Pooja Bell with Peacock Handle,Metalwork,760.0,1750,1950,1150,synthetic_benchmark
Traditional Temple Jewelry Gold Plated Pendant,Jewelry,550.0,2050,2300,850,synthetic_benchmark
Premium 60W Fast Charging Laptop Charger Power Adapter,Electronics,620.0,1850,2350,950,synthetic_benchmark
Custom Organic Handloom Linen Scarf with Tassels,Handloom Textile,1660.0,4300,5100,2400,synthetic_benchmark
USB-C to Lightning Braided Fast Sync Cable,Electronics,610.0,1150,1250,950,synthetic_benchmark
Handwoven Woolen Kashmiri Pashmina Shawl,Handloom Textile,3450.0,9350,12600,4950,synthetic_benchmark
Traditional Handcrafted Oxidised 925 Silver Tribal Choker Necklace,Jewelry,620.0,2150,2900,950,synthetic_benchmark
Deluxe Handcrafted Bamboo Wood Bluetooth Wireless Speaker,Electronics,1050.0,2150,2500,1550,synthetic_benchmark
Vintage USB-C to Lightning Braided Fast Sync Cable,Electronics,1040.0,2300,3050,1550,synthetic_benchmark
Handcrafted Oxidised 925 Silver Tribal Choker Necklace,Jewelry,2000.0,5050,6600,2900,synthetic_benchmark
Intricately Carved Wooden Jewellery Box with Brass Inlay,Woodwork,250.0,1000,1200,450,synthetic_benchmark
Handmade Terracotta Decorative Wall Hanging,Pottery & Clay,50.0,250,300,150,synthetic_benchmark
Sculpted Clay Floral Vase with Rustic Finish,Pottery & Clay,170.0,550,750,350,synthetic_benchmark
Handmade Brass Diya Oil Lamp Hanging,Metalwork,1140.0,2300,3000,1700,synthetic_benchmark
Traditional Kantha Stitch Embroidered Cotton Cushion Covers Pair,Embroidery,650.0,2200,2850,1000,synthetic_benchmark
Organic Handloom Linen Scarf with Tassels,Handloom Textile,2950.0,5750,7200,4250,synthetic_benchmark
Handmade Teak Wood Kitchen Spatula & Spoon Set,Woodwork,570.0,2150,2650,900,synthetic_benchmark
Cast Iron Artisan Skillet Fry Pan,Metalwork,1690.0,4500,5000,2450,synthetic_benchmark
Artisan Ceramic Planter with Drainage Plate,Pottery & Clay,190.0,650,750,350,synthetic_benchmark
65W GaN USB-C Fast Charger with Foldable Plug,Electronics,490.0,1200,1550,800,synthetic_benchmark
Handmade Noise Cancelling Over-Ear Studio Headphones,Electronics,1240.0,2700,3650,1850,synthetic_benchmark
Authentic Kanjivaram Silk Festive Saree,Handloom Textile,1720.0,4150,5000,2500,synthetic_benchmark
Custom Handmade Terracotta Decorative Wall Hanging,Pottery & Clay,260.0,650,850,450,synthetic_benchmark
Handcrafted Oxidised 925 Silver Tribal Choker Necklace,Jewelry,2190.0,5300,6850,3150,synthetic_benchmark
Hand-Embroidered Chikankari Cotton Kurti,Embroidery,970.0,1950,2300,1450,synthetic_benchmark
Artisan Ceramic Planter with Drainage Plate,Pottery & Clay,330.0,950,1150,550,synthetic_benchmark
Handmade Crocheted Cotton Baby Blanket,Embroidery,280.0,800,950,500,synthetic_benchmark
Exquisite Handloom Silk Saree in Vibrant Green and Pink,Handloom Textile,0.0,650,800,500,platform_database
Handcrafted Sandalwood Carved Incense Stick Holder,Woodwork,320.0,900,1100,550,synthetic_benchmark
Deluxe Handmade Brass Meenakari Enamel Bangles Set,Jewelry,1650.0,6050,7700,2400,synthetic_benchmark
Custom Handmade Brass Diya Oil Lamp Hanging,Metalwork,740.0,1900,2150,1150,synthetic_benchmark
Authentic Hand-Stitched Patchwork Quilt Throw Blanket,Embroidery,390.0,1100,1400,650,synthetic_benchmark
Noise Cancelling Over-Ear Studio Headphones,Electronics,960.0,2300,3000,1450,synthetic_benchmark
Custom Kantha Stitch Embroidered Cotton Cushion Covers Pair,Embroidery,300.0,750,1000,500,synthetic_benchmark
Terracotta Handpainted Statement Jewelry Set,Jewelry,1260.0,4500,5300,1850,synthetic_benchmark
Premium Hand-Embroidered Chikankari Cotton Kurti,Embroidery,970.0,3150,4200,1450,synthetic_benchmark
Handmade Mango Wood Candle Stand Pair,Woodwork,740.0,2050,2400,1150,synthetic_benchmark
Handmade Kundan & Pearl Jhumka Earrings,Jewelry,1820.0,6150,6900,2650,synthetic_benchmark
Hand-Beaten Brass Dining Platter Thali Set,Metalwork,450.0,1450,1900,750,synthetic_benchmark
USB-C to Lightning Braided Fast Sync Cable,Electronics,1420.0,3450,4600,2100,synthetic_benchmark
Handmade Pure Bronze Kansa Serving Bowls Set of 2,Metalwork,1570.0,4800,6450,2300,synthetic_benchmark
Hand-Embroidered Chikankari Cotton Kurti,Embroidery,910.0,2800,3350,1350,synthetic_benchmark
Eco-Friendly Handspun Cotton Table Runner with Tribal Motifs,Handloom Textile,2280.0,6500,7950,3300,synthetic_benchmark
Deluxe Handwoven Cotton Chanderi Dupatta with Booti Work,Handloom Textile,3410.0,7400,9650,4850,synthetic_benchmark
Mirror Work Kutch Embroidered Wall Tapestry,Embroidery,460.0,1500,1950,750,synthetic_benchmark
Handmade Crocheted Cotton Baby Blanket,Embroidery,400.0,1350,1500,650,synthetic_benchmark
Ergonomic Wireless Silent Optical Mouse,Electronics,1350.0,2400,3150,2000,synthetic_benchmark
Handmade Soft Stuffed Bunny Toy Holding a Carrot,Embroidery,600.0,1450,1800,950,synthetic_benchmark
Handmade Kundan & Pearl Jhumka Earrings,Jewelry,1530.0,4350,5500,2250,synthetic_benchmark
45W Type-C Fast Charger for Ultrasharp Laptops,Electronics,1240.0,3050,3450,1850,synthetic_benchmark
Handmade Pure Bronze Kansa Serving Bowls Set of 2,Metalwork,560.0,1400,1750,900,synthetic_benchmark
Traditional Temple Jewelry Gold Plated Pendant,Jewelry,1740.0,5200,6650,2550,synthetic_benchmark
Handmade Clay Coffee Mugs Set of 2,Pottery & Clay,130.0,650,750,300,synthetic_benchmark
Handcrafted Handmade Soft Stuffed Bunny Toy Holding a Carrot,Embroidery,830.0,2750,3550,1250,synthetic_benchmark
Hand-Embroidered Chikankari Cotton Kurti,Embroidery,780.0,1750,2200,1200,synthetic_benchmark
Handmade Teak Wood Kitchen Spatula & Spoon Set,Woodwork,1130.0,4000,4650,1700,synthetic_benchmark
Handcrafted Oxidised 925 Silver Tribal Choker Necklace,Jewelry,1360.0,5700,6850,2000,synthetic_benchmark
Premium 60W Fast Charging Laptop Charger Power Adapter,Electronics,970.0,2300,2900,1450,synthetic_benchmark
Khadi Cotton Handloom Kurta for Men,Handloom Textile,2200.0,4700,5550,3200,synthetic_benchmark
Artisan 10000mAh Magnetic Wireless Power Bank Fast Charge,Electronics,610.0,1200,1500,950,synthetic_benchmark
Zardozi Work Hand-Embroidered Velvet Clutch Bag,Embroidery,230.0,850,950,400,synthetic_benchmark
65W GaN USB-C Fast Charger with Foldable Plug,Electronics,710.0,1500,1900,1100,synthetic_benchmark
Custom Khadi Cotton Handloom Kurta for Men,Handloom Textile,1220.0,3450,4350,1800,synthetic_benchmark
Handmade Teak Wood Kitchen Spatula & Spoon Set,Woodwork,950.0,2600,3400,1450,synthetic_benchmark
Classic Handmade Brass Diya Oil Lamp Hanging,Metalwork,1460.0,4100,4950,2150,synthetic_benchmark
Handcrafted Walnut Wood Decorative Serving Tray,Woodwork,1050.0,3650,4850,1550,synthetic_benchmark
Antique Finish Pure Copper Water Bottle (1 Litre),Metalwork,910.0,2500,2800,1350,synthetic_benchmark
Handloom Sambalpuri Silk Traditional Saree,Handloom Textile,1240.0,2750,3400,1850,synthetic_benchmark
Premium Handmade Clay Kulhad Chai Cups Set of 6,Pottery & Clay,70.0,300,350,200,synthetic_benchmark
Handcrafted Traditional Jamdani Cotton Saree,Handloom Textile,570.0,1700,2050,900,synthetic_benchmark
Traditional Phulkari Hand-Embroidered Traditional Dupatta,Embroidery,360.0,1100,1250,600,synthetic_benchmark
Deluxe Handmade Mango Wood Candle Stand Pair,Woodwork,840.0,2400,2750,1300,synthetic_benchmark
Handmade Brass Pooja Bell with Peacock Handle,Metalwork,1750.0,4200,4750,2550,synthetic_benchmark
Handmade Brass Meenakari Enamel Bangles Set,Jewelry,320.0,1000,1150,550,synthetic_benchmark
Traditional Temple Jewelry Gold Plated Pendant,Jewelry,1890.0,4300,5050,2750,synthetic_benchmark
Handmade Crocheted Cotton Baby Blanket,Embroidery,470.0,1600,1900,750,synthetic_benchmark
Deluxe Premium 60W Fast Charging Laptop Charger Power Adapter,Electronics,930.0,1600,1950,1400,synthetic_benchmark
Exquisite Handloom Sambalpuri Silk Traditional Saree,Handloom Textile,3120.0,8350,11150,4450,synthetic_benchmark
Khadi Cotton Handloom Kurta for Men,Handloom Textile,3350.0,6600,7750,4800,synthetic_benchmark
Traditional Handmade Soft Stuffed Bunny Toy Holding a Carrot,Embroidery,840.0,1900,2450,1300,synthetic_benchmark
Handmade Brass Diya Oil Lamp Hanging,Metalwork,630.0,1650,2100,1000,synthetic_benchmark
Terracotta Handpainted Statement Jewelry Set,Jewelry,1650.0,4050,5300,2400,synthetic_benchmark
Handloom Pure Silk Banarasi Saree with Zari Border,Handloom Textile,570.0,1850,2400,900,synthetic_benchmark
Handcrafted Noise Cancelling Over-Ear Studio Headphones,Electronics,740.0,1600,1800,1150,synthetic_benchmark
Carved Sheesham Wood Elephant Figurine,Woodwork,940.0,2850,3700,1400,synthetic_benchmark
Vintage Handmade Brass Pooja Bell with Peacock Handle,Metalwork,710.0,1900,2450,1100,synthetic_benchmark
Noise Cancelling Over-Ear Studio Headphones,Electronics,1390.0,3000,3550,2050,synthetic_benchmark
Mirror Work Kutch Embroidered Wall Tapestry,Embroidery,920.0,2600,3100,1400,synthetic_benchmark
Classic Ergonomic Wireless Silent Optical Mouse,Electronics,350.0,900,1200,600,synthetic_benchmark
Handcrafted Walnut Wood Decorative Serving Tray,Woodwork,910.0,3400,4550,1350,synthetic_benchmark
Artisan Handmade Brass Meenakari Enamel Bangles Set,Jewelry,590.0,2350,2650,950,synthetic_benchmark
Handcrafted Walnut Wood Decorative Serving Tray,Woodwork,220.0,800,900,400,synthetic_benchmark
Handloom Pure Silk Banarasi Saree with Zari Border,Handloom Textile,2370.0,6350,7400,3400,synthetic_benchmark
Handmade Handcrafted Terracotta Water Pitcher with Traditional Lid,Pottery & Clay,310.0,750,1000,550,synthetic_benchmark
Handcrafted Beaded Semi-Precious Stone Bracelet,Jewelry,1560.0,4550,5100,2300,synthetic_benchmark
Authentic Hand-Beaten Brass Dining Platter Thali Set,Metalwork,910.0,2800,3650,1350,synthetic_benchmark
10000mAh Magnetic Wireless Power Bank Fast Charge,Electronics,1320.0,2600,3350,1950,synthetic_benchmark
Authentic Artisan Ceramic Planter with Drainage Plate,Pottery & Clay,310.0,900,1150,550,synthetic_benchmark
Premium 60W Fast Charging Laptop Charger Power Adapter,Electronics,1310.0,3100,3950,1950,synthetic_benchmark
Handcrafted Handmade Clay Coffee Mugs Set of 2,Pottery & Clay,220.0,750,850,400,synthetic_benchmark
Exquisite Cast Iron Artisan Skillet Fry Pan,Metalwork,610.0,1600,1950,950,synthetic_benchmark
Authentic Handmade Mango Wood Candle Stand Pair,Woodwork,290.0,1200,1600,500,synthetic_benchmark
USB-C to Lightning Braided Fast Sync Cable,Electronics,1460.0,3150,3600,2150,synthetic_benchmark
Handcrafted Walnut Wood Decorative Serving Tray,Woodwork,230.0,750,850,400,synthetic_benchmark
Artisan Traditional Jamdani Cotton Saree,Handloom Textile,2870.0,9150,11400,4100,synthetic_benchmark
Artisan Noise Cancelling Over-Ear Studio Headphones,Electronics,1250.0,2100,2450,1850,synthetic_benchmark
Handcrafted Walnut Wood Decorative Serving Tray,Woodwork,260.0,1200,1400,450,synthetic_benchmark
Handloom Pure Silk Banarasi Saree with Zari Border,Handloom Textile,2980.0,8100,10650,4250,synthetic_benchmark
Handmade Mango Wood Candle Stand Pair,Woodwork,620.0,2450,3250,950,synthetic_benchmark
Intricately Carved Wooden Jewellery Box with Brass Inlay,Woodwork,280.0,900,1150,500,synthetic_benchmark
Deluxe Handmade Brass Diya Oil Lamp Hanging,Metalwork,700.0,1700,2250,1100,synthetic_benchmark
Handmade Wooden Coaster Set of 6 with Stand,Woodwork,510.0,1950,2350,800,synthetic_benchmark
Dhokra Brass Hand-Cast Tribal Figurine,Metalwork,1310.0,2950,3850,1950,synthetic_benchmark
Deluxe Traditional Temple Jewelry Gold Plated Pendant,Jewelry,2440.0,8500,9500,3500,synthetic_benchmark
Premium Handmade Brass Diya Oil Lamp Hanging,Metalwork,1140.0,3650,4800,1700,synthetic_benchmark
Hand-Embroidered Chikankari Cotton Kurti,Embroidery,760.0,1650,2100,1150,synthetic_benchmark
Artisan Glazed Ceramic Dining Soup Bowls Set of 4,Pottery & Clay,370.0,900,1200,600,synthetic_benchmark
Handcrafted Beaded Semi-Precious Stone Bracelet,Jewelry,1050.0,4400,5800,1550,synthetic_benchmark
Artisan Glazed Ceramic Dining Soup Bowls Set of 4,Pottery & Clay,390.0,1150,1450,650,synthetic_benchmark
Phulkari Hand-Embroidered Traditional Dupatta,Embroidery,930.0,2150,2400,1400,synthetic_benchmark
Vintage Mirror Work Kutch Embroidered Wall Tapestry,Embroidery,760.0,1600,2000,1150,synthetic_benchmark
Traditional Jamdani Cotton Saree,Handloom Textile,1580.0,4350,5550,2300,synthetic_benchmark
Vintage Sculpted Clay Floral Vase with Rustic Finish,Pottery & Clay,150.0,700,850,300,synthetic_benchmark
Handmade Brass Meenakari Enamel Bangles Set,Jewelry,1020.0,3850,4750,1550,synthetic_benchmark
Handmade Brass Meenakari Enamel Bangles Set,Jewelry,1850.0,6850,8850,2700,synthetic_benchmark
Exquisite Handmade Teak Wood Kitchen Spatula & Spoon Set,Woodwork,1050.0,3850,4750,1550,synthetic_benchmark
Handmade Brass Meenakari Enamel Bangles Set,Jewelry,1620.0,6100,6800,2350,synthetic_benchmark
Zardozi Work Hand-Embroidered Velvet Clutch Bag,Embroidery,720.0,2000,2500,1100,synthetic_benchmark
7-in-1 Aluminium USB-C Multiport Hub Adapter,Electronics,770.0,1750,2150,1200,synthetic_benchmark
USB-C to Lightning Braided Fast Sync Cable,Electronics,1020.0,2650,3500,1550,synthetic_benchmark
Exquisite Ergonomic Wireless Silent Optical Mouse,Electronics,1190.0,2600,3250,1750,synthetic_benchmark
Artisan Pochampally Ikat Handwoven Saree,Handloom Textile,2320.0,5700,7250,3350,synthetic_benchmark
Hand-Stitched Patchwork Quilt Throw Blanket,Embroidery,530.0,1450,1850,850,synthetic_benchmark
Pure Bronze Kansa Serving Bowls Set of 2,Metalwork,550.0,1450,1850,850,synthetic_benchmark
Premium Handmade Wooden Coaster Set of 6 with Stand,Woodwork,220.0,900,1050,400,synthetic_benchmark
Handmade Soft Stuffed Bunny Toy Holding a Carrot,Embroidery,510.0,1400,1700,800,synthetic_benchmark
Traditional Sandalwood Carved Incense Stick Holder,Woodwork,1130.0,3150,3700,1700,synthetic_benchmark
Handcrafted Walnut Wood Decorative Serving Tray,Woodwork,730.0,2150,2900,1100,synthetic_benchmark
Terracotta Handpainted Statement Jewelry Set,Jewelry,2160.0,6100,8200,3100,synthetic_benchmark
Vintage Handcrafted Beaded Semi-Precious Stone Bracelet,Jewelry,1480.0,5500,7250,2150,synthetic_benchmark
Traditional Jamdani Cotton Saree,Handloom Textile,2550.0,5250,6600,3650,synthetic_benchmark
Handmade Wooden Coaster Set of 6 with Stand,Woodwork,810.0,2200,2850,1250,synthetic_benchmark
Vintage Antique Finish Pure Copper Water Bottle (1 Litre),Metalwork,960.0,2550,3400,1450,synthetic_benchmark
Traditional Carved Sheesham Wood Elephant Figurine,Woodwork,450.0,1250,1500,750,synthetic_benchmark
Artisan Kantha Stitch Embroidered Cotton Cushion Covers Pair,Embroidery,420.0,1450,1750,700,synthetic_benchmark
Traditional Temple Jewelry Gold Plated Pendant,Jewelry,2310.0,7500,8550,3350,synthetic_benchmark
Traditional Handpainted Clay Diya Festive Set,Pottery & Clay,130.0,650,850,300,synthetic_benchmark
Exquisite 10000mAh Magnetic Wireless Power Bank Fast Charge,Electronics,540.0,1500,1700,850,synthetic_benchmark
Artisan Ceramic Planter with Drainage Plate,Pottery & Clay,230.0,550,700,400,synthetic_benchmark
Traditional Phulkari Hand-Embroidered Traditional Dupatta,Embroidery,990.0,2450,2900,1500,synthetic_benchmark
Traditional Handpainted Clay Diya Festive Set,Pottery & Clay,270.0,800,1100,500,synthetic_benchmark
Exquisite Sculpted Clay Floral Vase with Rustic Finish,Pottery & Clay,320.0,900,1100,550,synthetic_benchmark
Artisan Cast Iron Artisan Skillet Fry Pan,Metalwork,800.0,2150,2550,1200,synthetic_benchmark
Deluxe Mirror Work Kutch Embroidered Wall Tapestry,Embroidery,930.0,2600,3400,1400,synthetic_benchmark
Mirror Work Kutch Embroidered Wall Tapestry,Embroidery,300.0,1000,1150,500,synthetic_benchmark
Exquisite Premium 60W Fast Charging Laptop Charger Power Adapter,Electronics,1220.0,2700,3150,1800,synthetic_benchmark
Eco-Friendly Hand-Beaten Brass Dining Platter Thali Set,Metalwork,810.0,2000,2300,1250,synthetic_benchmark
Eco-Friendly Zardozi Work Hand-Embroidered Velvet Clutch Bag,Embroidery,370.0,1300,1700,600,synthetic_benchmark
Deluxe Handmade Brass Meenakari Enamel Bangles Set,Jewelry,490.0,1850,2050,800,synthetic_benchmark
Handmade Brass Diya Oil Lamp Hanging,Metalwork,1700.0,4200,5650,2500,synthetic_benchmark
Handcrafted Authentic Kanjivaram Silk Festive Saree,Handloom Textile,1070.0,3050,3900,1600,synthetic_benchmark
Zardozi Work Hand-Embroidered Velvet Clutch Bag,Embroidery,610.0,1800,2000,950,synthetic_benchmark
Traditional Temple Jewelry Gold Plated Pendant,Jewelry,510.0,2150,2900,800,synthetic_benchmark
100W Type-C Heavy Duty Braided Charging Cable 2m,Electronics,1090.0,3000,3900,1650,synthetic_benchmark
Premium Handmade Clay Coffee Mugs Set of 2,Pottery & Clay,390.0,1050,1200,650,synthetic_benchmark
Handcrafted Organic Handloom Linen Scarf with Tassels,Handloom Textile,3310.0,7900,9300,4750,synthetic_benchmark
USB-C to Lightning Braided Fast Sync Cable,Electronics,1130.0,2500,3050,1700,synthetic_benchmark
Handmade Dhokra Brass Hand-Cast Tribal Figurine,Metalwork,470.0,1250,1450,750,synthetic_benchmark
Premium 60W Fast Charging Laptop Charger Power Adapter,Electronics,550.0,1000,1300,850,synthetic_benchmark
Handcrafted Bamboo Wood Bluetooth Wireless Speaker,Electronics,530.0,1250,1550,850,synthetic_benchmark
Exquisite Handcrafted Oxidised 925 Silver Tribal Choker Necklace,Jewelry,320.0,1450,1600,550,synthetic_benchmark
Handwoven Cotton Chanderi Dupatta with Booti Work,Handloom Textile,2830.0,6900,8250,4050,synthetic_benchmark
Phulkari Hand-Embroidered Traditional Dupatta,Embroidery,910.0,2650,3500,1350,synthetic_benchmark
Custom Artisan Filigree Pure Silver Toe Rings Pair,Jewelry,2430.0,5400,6700,3500,synthetic_benchmark
Artisan Ceramic Planter with Drainage Plate,Pottery & Clay,360.0,1200,1450,600,synthetic_benchmark
Ergonomic Wireless Silent Optical Mouse,Electronics,610.0,1600,1950,950,synthetic_benchmark
Phulkari Hand-Embroidered Traditional Dupatta,Embroidery,220.0,700,900,400,synthetic_benchmark
Handloom Sambalpuri Silk Traditional Saree,Handloom Textile,1380.0,4400,5800,2050,synthetic_benchmark
Artisan Mirror Work Kutch Embroidered Wall Tapestry,Embroidery,820.0,2850,3300,1250,synthetic_benchmark
Handspun Cotton Table Runner with Tribal Motifs,Handloom Textile,2140.0,5400,7000,3100,synthetic_benchmark
Premium 60W Fast Charging Laptop Charger Power Adapter,Electronics,1250.0,2300,2800,1850,synthetic_benchmark
Hand-Beaten Brass Dining Platter Thali Set,Metalwork,870.0,2650,3550,1300,synthetic_benchmark
Handmade USB-C to Lightning Braided Fast Sync Cable,Electronics,360.0,1200,1600,600,synthetic_benchmark
Handmade Mango Wood Candle Stand Pair,Woodwork,1150.0,4200,5050,1700,synthetic_benchmark
Handmade Brass Meenakari Enamel Bangles Set,Jewelry,1120.0,4050,4850,1650,synthetic_benchmark
Deluxe Hand-Embroidered Chikankari Cotton Kurti,Embroidery,800.0,2500,3100,1200,synthetic_benchmark
Classic Dhokra Brass Hand-Cast Tribal Figurine,Metalwork,620.0,2100,2450,950,synthetic_benchmark
Handcrafted Phulkari Hand-Embroidered Traditional Dupatta,Embroidery,920.0,2650,3000,1400,synthetic_benchmark
Traditional Temple Jewelry Gold Plated Pendant,Jewelry,800.0,2500,2950,1200,synthetic_benchmark
USB-C to Lightning Braided Fast Sync Cable,Electronics,940.0,2450,3200,1400,synthetic_benchmark
Handmade Clay Kulhad Chai Cups Set of 6,Pottery & Clay,150.0,450,500,300,synthetic_benchmark
Handcrafted Walnut Wood Decorative Serving Tray,Woodwork,750.0,1850,2400,1150,synthetic_benchmark
Traditional Handmade Teak Wood Kitchen Spatula & Spoon Set,Woodwork,820.0,2650,3000,1250,synthetic_benchmark
Kantha Stitch Embroidered Cotton Cushion Covers Pair,Embroidery,210.0,800,900,400,synthetic_benchmark
Premium Carved Sheesham Wood Elephant Figurine,Woodwork,470.0,1650,2200,750,synthetic_benchmark
Handcrafted Bamboo Wood Bluetooth Wireless Speaker,Electronics,1230.0,2650,3150,1800,synthetic_benchmark
Artisan Hand-Carved Wooden Wall Panel Relief,Woodwork,410.0,1550,2050,650,synthetic_benchmark
Handmade Kundan & Pearl Jhumka Earrings,Jewelry,1520.0,4200,4950,2250,synthetic_benchmark
Deluxe Zardozi Work Hand-Embroidered Velvet Clutch Bag,Embroidery,170.0,650,750,350,synthetic_benchmark
Handspun Cotton Table Runner with Tribal Motifs,Handloom Textile,700.0,1500,1850,1100,synthetic_benchmark
Hand-Embroidered Chikankari Cotton Kurti,Embroidery,190.0,650,750,350,synthetic_benchmark
Deluxe Earthen Clay Cooking Handi Pot,Pottery & Clay,140.0,450,600,300,synthetic_benchmark
Exquisite Earthen Clay Cooking Handi Pot,Pottery & Clay,120.0,450,550,250,synthetic_benchmark
Antique Finish Pure Copper Water Bottle (1 Litre),Metalwork,490.0,1400,1850,800,synthetic_benchmark
Handcrafted Terracotta Water Pitcher with Traditional Lid,Pottery & Clay,220.0,500,600,400,synthetic_benchmark
Hand-Embroidered Chikankari Cotton Kurti,Embroidery,980.0,2600,3500,1450,synthetic_benchmark
Handcrafted Beaded Semi-Precious Stone Bracelet,Jewelry,2480.0,8500,9900,3550,synthetic_benchmark
Handmade Brass Diya Oil Lamp Hanging,Metalwork,850.0,2350,2900,1300,synthetic_benchmark
Premium Handmade Wooden Coaster Set of 6 with Stand,Woodwork,820.0,3050,3500,1250,synthetic_benchmark
Custom Artisan Glazed Ceramic Dining Soup Bowls Set of 4,Pottery & Clay,210.0,900,1150,400,synthetic_benchmark
Phulkari Hand-Embroidered Traditional Dupatta,Embroidery,240.0,1000,1300,450,synthetic_benchmark
Custom Organic Handloom Linen Scarf with Tassels,Handloom Textile,1240.0,3950,5200,1850,synthetic_benchmark
Handmade Clay Coffee Mugs Set of 2,Pottery & Clay,180.0,550,650,350,synthetic_benchmark
Artisan Filigree Pure Silver Toe Rings Pair,Jewelry,2330.0,6900,8200,3350,synthetic_benchmark
Khadi Cotton Handloom Kurta for Men,Handloom Textile,3050.0,5950,7550,4350,synthetic_benchmark
Sandalwood Carved Incense Stick Holder,Woodwork,1130.0,3900,4450,1700,synthetic_benchmark
Authentic 10000mAh Magnetic Wireless Power Bank Fast Charge,Electronics,350.0,800,950,600,synthetic_benchmark
Handcrafted Terracotta Water Pitcher with Traditional Lid,Pottery & Clay,100.0,600,700,250,synthetic_benchmark
Exquisite Terracotta Handpainted Statement Jewelry Set,Jewelry,1680.0,5400,6500,2450,synthetic_benchmark
